Num.,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
12,Tevin Jessup,2,1,1,2,0,2,0,0,0,1,1,100.0%,0,0,,1,1,100.0%,0,0,,1.9,0,3/5,0,South Carolina (2),,1/28/2024
13,Zach Friday,13,2,2,4,0,2,0,0,0,5,7,71.4%,1,2,50.0%,6,9,66.7%,0,0,,10.3,0,11/14,0,South Carolina (2),,1/28/2024
20,Caleb Tillis,0,0,3,3,0,0,0,2,0,0,0,,0,0,,0,0,,0,0,,-1.1,0,2/5,0,South Carolina (2),,1/28/2024
21,Meelad Doroodchi,2,0,3,3,0,0,2,0,1,1,3,33.3%,0,0,,1,3,33.3%,0,0,,3.6,0,5/6,0,South Carolina (2),,1/28/2024
33,Cole Strand,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,5/5,0,South Carolina (2),,1/28/2024
34,Max Reid,2,0,2,2,0,2,0,0,0,1,2,50.0%,0,0,,1,2,50.0%,0,1,0.0%,0.4,0,1/2,0,South Carolina (2),,1/28/2024
35,CHARLOTTE,69,15,31,46,1,14,8,13,5,24,43,55.8%,5,19,26.3%,29,62,46.8%,6,10,60.0%,0,10,76/95 = 80%,3,South Carolina (2),69,1/28/2024
36,Opponent,60,11,21,32,2,14,16,13,8,7,26,26.90%,13,35,37.10%,20,61,32.80%,7,10,70.00%,,,,,South Carolina (2),60,1/28/2024
#,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,12,0,1,1,0,0,0,0,0,5,7,71.4%,0,0,,5,7,71.4%,2,3,66.7%,9,0,13/13,2,USC Upstate,,2/4/2024
1,Anthony Franchi,2,0,6,6,0,0,5,0,0,1,3,33.3%,0,1,0.0%,1,4,25.0%,0,0,,4.9,0,7/10,0,USC Upstate,,2/4/2024
2,Drew Moore,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,USC Upstate,,2/4/2024
3,Trian Barnes,17,0,3,3,0,2,3,6,1,7,8,87.5%,0,0,,7,8,87.5%,3,4,75.0%,11,0,14/15,0,USC Upstate,,2/4/2024
4,JJ Sciba,7,0,3,3,0,0,3,2,0,2,2,100.0%,1,3,33.3%,3,5,60.0%,0,0,,5.7,0,12/15,0,USC Upstate,,2/4/2024
5,Jourdan Watkins,29,1,9,10,1,1,0,0,4,11,12,91.7%,1,1,100.0%,12,13,92.3%,4,8,50.0%,30.8,0,13/17,1,USC Upstate,,2/4/2024
7,Trevor Kelly,3,1,4,5,1,0,1,0,0,0,1,0.0%,1,6,16.7%,1,7,14.3%,0,0,,1.8,0,12/13,0,USC Upstate,,2/4/2024
8,Sos Igbnigie,4,0,2,2,0,3,1,2,1,0,0,,1,2,50.0%,1,2,50.0%,1,2,50.0%,1.7,0,15/16,0,USC Upstate,,2/4/2024
11,Tyler Druskis,0,0,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0.3,0,2/2,0,USC Upstate,,2/4/2024
12,Tevin Jessup,0,0,2,2,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0.6,0,4/7,1,USC Upstate,,2/4/2024
13,Zach Friday,2,0,3,3,1,1,2,3,1,1,4,25.0%,0,1,0.0%,1,5,20.0%,0,0,,-0.5,0,11/15,0,USC Upstate,,2/4/2024
20,Caleb Tillis,8,3,2,5,0,2,0,0,1,3,6,50.0%,0,0,,3,6,50.0%,2,4,50.0%,7.1,0,5/7,1,USC Upstate,,2/4/2024
21,Meelad Doroodchi,4,0,2,2,0,3,1,2,1,2,3,66.7%,0,2,0.0%,2,5,40.0%,0,0,,0.4,0,10/11,0,USC Upstate,,2/4/2024
33,Cole Strand,3,2,0,2,0,0,0,0,0,0,1,0.0%,1,2,50.0%,1,3,33.3%,0,0,,2.7,0,4/4,0,USC Upstate,,2/4/2024
34,Max Reid,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.0%,0,1,0.0%,0,0,,-0.7,0,0/1,0,USC Upstate,,2/4/2024
35,CHARLOTTE,91,8,39,47,3,12,16,15,9,32,47,68.1%,5,19,26.3%,37,66,56.1%,12,21,57.1%,0,5,122/146 = 84%,5,USC Upstate,91,2/4/2024
36,Opponent,71,8,24,32,2,14,8,16,13,9,29,31.00%,14,41,34.10%,23,70,32.90%,11,16,68.80%,,,,,USC Upstate,71,2/4/2024
#,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,9,1,0,1,0,1,1,1,1,2,5,40.0%,0,0,,2,5,40.0%,5,6,83.3%,6.9,0,14/14,0,NC State (Halton),,2/10/2024
